song	tone-analyzer	ibm
Old Town Road (Remix) by Lil Nas X feat. Billy Ray Cyrus	Happy 😃	
Old Town Road by Lil Nas X	Happy 😃	
God's Country by Blake Shelton	Sad 😔	Happy 😃
Sucker by Jonas Brothers	Happy 😃	Happy 😃
Shallow by Lady Gaga feat. Bradley Cooper	Sad 😔	Happy 😃
Sweet but Psycho by Ava Max	Sad 😔	Happy 😃
Look What God Gave Her by Thomas Rhett	Sad 😔	Happy 😃
Sunflower - Spider-Man: Into the Spider-Verse by Post Malone feat. Swae Lee	Happy 😃	Happy 😃
Cool by Jonas Brothers	Sad 😔	Happy 😃
Beautiful Crazy by Luke Combs	Happy 😃	Happy 😃
Wow. by Post Malone	Happy 😃	
SOS by Avicii & Aloe Blacc	Sad 😔	Sad 😔
bad guy by Billie Eilish	Sad 😔	Sad 😔
You Say by Lauren Daigle	Happy 😃	Sad 😔
Dancing with a Stranger by Sam Smith feat. Normani	Happy 😃	
